iter	RMSE
0	0.1762681827
1	0.1704060374
2	0.1651074054
3	0.1608239297
4	0.1562145606
5	0.1527797262
6	0.149586218
7	0.1467410377
8	0.143699651
9	0.1412583602
10	0.1389982829
11	0.1368390654
12	0.1343629328
13	0.1328127053
14	0.1310573921
15	0.1288746757
16	0.127503907
17	0.1262522143
18	0.1251099406
19	0.1239784086
20	0.122747121
21	0.1215214141
22	0.1200402554
23	0.1191932751
24	0.118395229
25	0.1175848655
26	0.1165523796
27	0.1158665655
28	0.1150189066
29	0.1143675497
30	0.1136605319
31	0.1129821959
32	0.1123724344
33	0.1112526845
34	0.1106485874
35	0.1089415372
36	0.1083719072
37	0.1080361332
38	0.1072958692
39	0.1065197543
40	0.1057491551
41	0.1047106284
42	0.104040187
43	0.1036607768
44	0.1031977263
45	0.1026509741
46	0.1021248856
47	0.1017509238
48	0.1011453869
49	0.1008158294
50	0.1005236157
51	0.09978328345
52	0.09945265869
53	0.09843075005
54	0.09819766654
55	0.09778447566
56	0.09762181439
57	0.09741666024
58	0.09711200893
59	0.09683523446
60	0.09660798004
61	0.09629858789
62	0.09602804908
63	0.09548719551
64	0.09521354627
65	0.0951423127
66	0.09502181712
67	0.09486714822
68	0.09463764297
69	0.09413259465
70	0.09378585845
71	0.09358903981
72	0.09357273838
73	0.09321711552
74	0.09284169467
75	0.09238116921
76	0.09195617316
77	0.09179228605
78	0.09162840917
79	0.09152093033
80	0.0913551266
81	0.09105198763
82	0.09097181768
83	0.09061716088
84	0.09029130208
85	0.09013177069
86	0.09006166099
87	0.08989286498
88	0.08970278494
89	0.08953312891
90	0.08934831578
91	0.08887334545
92	0.0886429535
93	0.08844642174
94	0.08821217801
95	0.08779965459
96	0.08758990215
97	0.08738030114
98	0.08727775527
99	0.08707324675
