iter	Passed	Remaining
0	5	539
1	9	478
2	13	451
3	18	437
4	22	428
5	26	419
6	30	408
7	35	402
8	39	395
9	43	389
10	47	382
11	51	377
12	55	372
13	59	367
14	64	364
15	68	358
16	72	353
17	76	348
18	80	343
19	84	338
20	88	333
21	92	329
22	97	325
23	101	320
24	105	316
25	109	311
26	113	306
27	117	301
28	121	297
29	125	293
30	130	289
31	134	284
32	138	281
33	142	276
34	146	272
35	150	267
36	154	263
37	158	259
38	162	254
39	167	250
40	171	246
41	175	242
42	180	239
43	185	235
44	189	231
45	193	227
46	198	223
47	202	219
48	206	215
49	211	211
50	215	206
51	219	202
52	223	198
53	228	194
54	232	190
55	236	185
56	240	181
57	245	177
58	249	173
59	253	169
60	257	164
61	262	160
62	266	156
63	270	152
64	274	148
65	279	143
66	283	139
67	287	135
68	292	131
69	296	127
70	300	122
71	305	118
72	307	113
73	312	109
74	316	105
75	321	101
76	325	97
77	330	93
78	335	89
79	339	84
80	344	80
81	348	76
82	353	72
83	358	68
84	362	64
85	367	59
86	371	55
87	376	51
88	380	47
89	385	42
90	389	38
91	394	34
92	399	30
93	404	25
94	409	21
95	413	17
96	418	12
97	422	8
98	427	4
99	431	0
